y1,y2,year,flank1,flank2,axillary1,axillary2,breast1,breast2,bird_id,species
5713.7725,2577.7178,2020,20447.7109,32499.8438,35368.8008,34755.3125,23673.4355,24814.127,23,0
5670.3135,2400.2959,2020,20447.7109,32499.8438,35368.8008,34755.3125,23673.4355,24814.127,23,0
662.0757,280.5256,2020,911.053,868.9764,758.6746,739.2325,874.9662,749.5057,24,0
663.0938,292.7325,2020,911.053,868.9764,758.6746,739.2325,874.9662,749.5057,24,0
635.4578,266.4639,2020,911.053,868.9764,758.6746,739.2325,874.9662,749.5057,24,0
402.0871,201.5784,2020,1219.3049,1580.9705,2626.3557,3012.2976,1704.12935,2136.4111,25,0
462.0063,200.4107,2020,1219.3049,1580.9705,2626.3557,3012.2976,1704.12935,2136.4111,25,0
413.5701,195.4676,2020,1219.3049,1580.9705,2626.3557,3012.2976,1704.12935,2136.4111,25,0
1718.4922,449.444,2020,3981.0452,3873.2935,6815.2759,4312.8018,9477.55345,10268.30075,26,0
1658.2399,455.0389,2020,3981.0452,3873.2935,6815.2759,4312.8018,9477.55345,10268.30075,26,0
1820.6362,471.3719,2020,3981.0452,3873.2935,6815.2759,4312.8018,9477.55345,10268.30075,26,0
710.9964,297.546,2020,4446.5845,5008.8613,2971.1521,3011.7361,5975.158,10017.167,27,0
688.9952,291.825,2020,4446.5845,5008.8613,2971.1521,3011.7361,5975.158,10017.167,27,0
697.9781,309.0735,2020,4446.5845,5008.8613,2971.1521,3011.7361,5975.158,10017.167,27,0
1136.6929,313.423,2020,3586.0908,3465.2197,4656.7817,4827.252,6207.12425,6245.44875,28,0
1133.1007,312.7436,2020,3586.0908,3465.2197,4656.7817,4827.252,6207.12425,6245.44875,28,0
1124.6249,302.5836,2020,3586.0908,3465.2197,4656.7817,4827.252,6207.12425,6245.44875,28,0
3578.5527,648.5093,2020,10821.4766,8159.9194,15720.4229,15338.2734,10117.8169,11427.1475,29,0
3634.8733,647.6907,2020,10821.4766,8159.9194,15720.4229,15338.2734,10117.8169,11427.1475,29,0
3720.0046,688.9187,2020,10821.4766,8159.9194,15720.4229,15338.2734,10117.8169,11427.1475,29,0
280.2505,177.5227,2021,1774.1848,1726.4978,1448.094,1455.2993,1639.3412,1995.49995,30,0
273.0094,181.4593,2021,1774.1848,1726.4978,1448.094,1455.2993,1639.3412,1995.49995,30,0
288.5719,186.6641,2021,1774.1848,1726.4978,1448.094,1455.2993,1639.3412,1995.49995,30,0
576.8079,175.6106,2021,2588.1953,2580.4626,1746.58,1629.3168,2302.8027,1222.7632,31,0
